D:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Microsoft\VC\v170\Microsoft.CppBuild.targets(500,5): warning MSB8004: Output Directory does not end with a trailing slash.  This build instance will add the slash as it is required to allow proper evaluation of the Output Directory.
  g_misc.c
D:\SW\IT266-002\quake2-full\game\g_misc.c(31,61): warning C4100: 'activator': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(31,45): warning C4100: 'other': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(104,77): warning C4100: 'surf': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(104,41): warning C4100: 'other': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(130,88): warning C4100: 'point': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(130,73): warning C4100: 'damage': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(130,59): warning C4100: 'attacker': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(130,39): warning C4100: 'inflictor': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(281,91): warning C4100: 'point': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(281,76): warning C4100: 'damage': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(281,62): warning C4100: 'attacker': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(281,42): warning C4100: 'inflictor': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(342,85): warning C4100: 'surf': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(342,66): warning C4100: 'plane': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(422,86): warning C4100: 'surf': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(422,67): warning C4100: 'plane': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(545,64): warning C4100: 'activator': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(545,48): warning C4100: 'other': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(593,61): warning C4100: 'activator': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(593,45): warning C4100: 'other': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(665,85): warning C4100: 'surf': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(683,63): warning C4100: 'activator': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(683,47): warning C4100: 'other': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(745,103): warning C4100: 'point': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(745,88): warning C4100: 'damage': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(809,65): warning C4100: 'activator': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(814,68): warning C4100: 'activator': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(814,52): warning C4100: 'other': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(873,80): warning C4100: 'surf': unreferenced formal parameter
